['311', 'CS101', '8998', 'Q429', '005']
['311', 'M102', '2163', 'D945', '008']
['311', 'CS101', '2938', 'D106', '015']
['311', 'CS009', 'D518', '7126', '012']
['311', 'M102', '2163', 'D945', '008']
['311', 'CS101', '2938', 'D106', '015']
['311', 'CS009', 'D518', '7126', '012']
['311', 'CS010', '8998', 'Q429', '005']
['311', 'CS003', '2279', 'D743', '018']
['311', 'M008', '9318', 'G378', '017']
['311', 'CS007', '7577', 'D651', '021']
['311', 'M007', '5932', 'C912', '015']
['311', 'CS102', '2163', 'I206', '007']
['312', 'CS004', '4498', 'Z000', '009']
['312', 'M007', '2163', 'I206', '007']
['312', 'M010', '4498', 'Z000', '009']
['312', 'CS003', '2163', 'I206', '007']
['312', 'M010', 'J736', '2938', '002']
['312', 'CS003', 'E058', '7800', '025']
['409', 'CS010', 'I021', '2295', '012']
['409', 'CS005', '3843', 'J942', '021']
['409', 'CS001', '4878', 'H263', '026']
['409', 'M107', '3843', 'J942', '021']
['409', 'CS001', '4878', 'H263', '026']
['409', 'M107', '3843', 'J942', '021']
['409', 'CS001', '4878', 'H263', '026']
['409', 'CS009', '7577', 'D651', '021']
['410', 'CS102', '9483', 'U843', '005']
['410', 'M106', '8998', 'D602', '011']
['410', 'CS110', '4389', 'F183', '015']
['410', 'M106', '8998', 'G376', '012']
['410', 'M107', ['4888', '5468'], 'Y734', '027']
['410', 'M002', 'N482', '2938', '022']
['410', 'CS110', '5499', 'C847', '026']
['410', 'M101', '3874', 'H526', '019']
['410', 'M104', '6265', 'J153', '022']
['411', 'M007', '2938', 'F937', '003']
['411', 'CS005', 'C912', '5932', '015']
['411', 'M002', '2938', 'F937', '003']
['411', 'M106', 'C912', '5932', '015']
['411', 'M002', '2938', 'F937', '003']
['411', 'M106', 'Y734', ['4888', '5468'], '027']
['411', 'M101', '2938', 'D106', '015']
['411', 'M007', '9349', '???', '011']
['411', 'M106', '3964', 'E880', '012']
['411', 'CS008', '8231', 'G253', '003']
['411', 'M106', '3964', 'E880', '012']
['411', 'CS002', '8231', 'G253', '003']
['411', 'CS010', 'Y942', '8394', '020']
['412', 'M104', 'S458', '3654', '001']
['412', 'CS008', '2938', 'D106', '015']
['412', 'CS003', '9936', 'F044', '007']
['412', 'M104', '5663', 'Q695', '003']
['412', 'CS110', 'D790', '7368', '015']
['412', 'M007', '2938', 'J736', '002']
['412', 'M006', '4389', 'L378', '005']
['413', 'CS003', '8998', 'Q429', '005']
['413', 'CS005', 'T594', '4642', '027']
['413', 'M107', ['3040', '5757', '6348'], 'B930', '011']
['413', 'CS001', '9936', 'F044', '007']
['413', 'CS005', '2938', 'J736', '002']
['413', 'M107', ['3040', '5757', '6348'], 'B930', '011']
['413', 'M106', '2938', 'G507', '006']
['413', 'M010', 'K639', '3040', '012']
['413', 'M106', '2938', 'G507', '006']
['413', 'CS007', '3843', 'J942', '021']
['413', 'M006', '4878', 'H263', '026']
['413', 'CS007', '5932', 'C912', '015']
['413', 'CS005', '8998', 'Q429', '005']
['413', 'M102', '5499', 'C847', '026']
['413', 'CS005', '2163', 'I206', '007']
['413', 'CS009', ['3964', '9933', '9429'], 'I011', '005']
['413', 'M104', '7577', 'D651', '021']
['413', 'M006', 'D106', '2938', '015']
['414', 'CS005', 'K483', '4389', '003']
['414', 'M105', '6265', 'J153', '022']
['414', 'CS110', '7800', 'E058', '025']
['414', 'M010', '2377', 'R563', '002']
['414', 'M102', '4389', 'L378', '005']
['414', 'M107', ['7368', '8394'], 'A123', '002']
['414', 'M103', ['3040', '5757', '6348'], 'B930', '011']
['414', 'M012', '4389', 'L378', '005']
['414', 'M106', '8231', 'G253', '003']
['414', 'CS008', ' 9349', 'H110', '007']
['414', 'CS105', '3492', 'I291', '015']
['414', 'M105', '2747', 'J252', '025']
['415', 'CS010', '2938', 'J736', '002']
['415', 'CS002', '5663', 'Q695', '003']
['415', 'CS003', ['7368', '8394'], 'A123', '002']
['415', 'CS102', '2938', 'F937', '003']
['415', 'M103', '4389', 'B142', '005']
['415', 'M007', '9936', 'F044', '007']
['415', 'M002', '4389', 'F183', '015']
